district_lea,district_name,coop,shortage
6040700,Academics Plus Public Charter Schools,PULASKI COUNTY SCHOOLS,1
1701000,Alma School District,GUY FENTER EDUCATION SERVICE COOPERATIVE,0
501000,Alpena School District,OZARK UNLITD RESOURCE CO-OP,0
6091000,Ark. School for the Blind,PULASKI COUNTY SCHOOLS,1
6092000,Ark. School for the Deaf,PULASKI COUNTY SCHOOLS,1
1002000,Arkadelphia School District,DAWSON EDUCATION SERVICE CO-OP,0
440700,Arkansas Arts Academy,NORTHWEST ARK. EDUCATION CO-OP,0
444700,Arkansas Connections Academy,NORTHWEST ARK. EDUCATION CO-OP,0
6050700,Arkansas Lighthouse Academies,PULASKI COUNTY SCHOOLS,1
6043700,Arkansas Virtual Academy,PULASKI COUNTY SCHOOLS,1
4701000,Armorel School District,CROWLEY'S RIDGE EDUCATION CO-OP,0
4101000,Ashdown School District,DEQUEEN/MENA EDUC. CO-OP,0
5801000,Atkins School District,ARCH FORD EDUCATIONAL SERVICE,0
7401000,Augusta School District,WILBUR D. MILLS EDUC. CO-OP,1
7301000,Bald Knob School District,WILBUR D. MILLS EDUC. CO-OP,0
5401000,Barton School District,GREAT RIVERS EDUC. SERV. CO-OP,1
3201000,Batesville School District,NORTH CENTRAL ARK. EDUC CO-OP,0
6301000,Bauxite School District,DAWSON EDUCATION SERVICE CO-OP,0
1601000,Bay School District,CROWLEY'S RIDGE EDUCATION CO-OP,0
5201000,Bearden School District,SOUTH CENTRAL SERVICE CO-OP,0
7302000,Beebe School District,WILBUR D. MILLS EDUC. CO-OP,0
6302000,Benton School District,DAWSON EDUCATION SERVICE CO-OP,0
401000,Bentonville School District,NORTHWEST ARK. EDUCATION CO-OP,0
502000,Bergman School District,OZARK UNLITD RESOURCE CO-OP,0
801000,Berryville School District,OZARK UNLITD RESOURCE CO-OP,0
3001000,Bismarck School District,DAWSON EDUCATION SERVICE CO-OP,0
2901000,Blevins School District,SOUTHWEST ARK. CO-OP,1
4702000,Blytheville School District,CROWLEY'S RIDGE EDUCATION CO-OP,1
4201000,Booneville School District,GUY FENTER EDUCATION SERVICE COOPERATIVE,0
7303000,Bradford School District,WILBUR D. MILLS EDUC. CO-OP,0
4801000,Brinkley School District,GREAT RIVERS EDUC. SERV. CO-OP,1
1603000,Brookland School District,CROWLEY'S RIDGE EDUCATION CO-OP,0
6303000,Bryant School District,DAWSON EDUCATION SERVICE CO-OP,0
1605000,Buffalo Is. Central Sch. Dist.,CROWLEY'S RIDGE EDUCATION CO-OP,0
4304000,Cabot School District,WILBUR D. MILLS EDUC. CO-OP,0
4901000,Caddo Hills School District,DEQUEEN/MENA EDUC. CO-OP,0
3301000,Calico Rock School District,NORTH CENTRAL ARK. EDUC CO-OP,0
5204000,Camden Fairview School District,SOUTH CENTRAL SERVICE CO-OP,1
4303000,Carlisle School District,WILBUR D. MILLS EDUC. CO-OP,0
6802000,Cave City School District,NORTH CENTRAL ARK. EDUC CO-OP,0
3212000,Cedar Ridge School District,NORTH CENTRAL ARK. EDUC CO-OP,1
1702000,Cedarville School District,GUY FENTER EDUCATION SERVICE COOPERATIVE,0
5502000,Centerpoint School District,DAWSON EDUCATION SERVICE CO-OP,0
2402000,Charleston School District,GUY FENTER EDUCATION SERVICE COOPERATIVE,0
4802000,Clarendon School District,GREAT RIVERS EDUC. SERV. CO-OP,1
3601000,Clarksville School District,GUY FENTER EDUCATION SERVICE COOPERATIVE,0
1305000,Cleveland County School District,SOUTHEAST ARKANSAS EDUCATIONAL,1
7102000,Clinton School District,ARCH FORD EDUCATIONAL SERVICE,0
1201000,Concord School District,NORTH CENTRAL ARK. EDUC CO-OP,0
2301000,Conway School District,ARCH FORD EDUCATIONAL SERVICE,0
1101000,Corning School District,NORTHEAST ARK. EDUC. CO-OP,0
5707000,Cossatot River School District,DEQUEEN/MENA EDUC. CO-OP,0
302000,Cotter School District,OZARK UNLITD RESOURCE CO-OP,0
2403000,County Line School District,GUY FENTER EDUCATION SERVICE COOPERATIVE,0
1901000,Cross County School District,CROWLEY'S RIDGE EDUCATION CO-OP,1
201000,Crossett School District,SOUTHEAST ARKANSAS EDUCATIONAL,1
2601000,Cutter-Morning Star School District,DAWSON EDUCATION SERVICE CO-OP,0
7503000,Danville School District,ARCH FORD EDUCATIONAL SERVICE,0
7504000,Dardanelle School District,ARCH FORD EDUCATIONAL SERVICE,0
402000,Decatur School District,NORTHWEST ARK. EDUCATION CO-OP,1
5106000,Deer/Mt. Judea School District,OZARK UNLITD RESOURCE CO-OP,1
6701000,Dequeen School District,DEQUEEN/MENA EDUC. CO-OP,0
901000,Dermott School District,SOUTHEAST ARKANSAS EDUCATIONAL,1
5901000,Des Arc School District,WILBUR D. MILLS EDUC. CO-OP,0
101000,Dewitt School District,SOUTHEAST ARKANSAS EDUCATIONAL,1
3102000,Dierks School District,DEQUEEN/MENA EDUC. CO-OP,0
6094000,Division of Youth Services School System,PULASKI COUNTY SCHOOLS,1
5802000,Dover School District,ARCH FORD EDUCATIONAL SERVICE,0
2202000,Drew Central School District,SOUTHEAST ARKANSAS EDUCATIONAL,1
2104000,Dumas School District,SOUTHEAST ARKANSAS EDUCATIONAL,1
1802000,Earle School District,CROWLEY'S RIDGE EDUCATION CO-OP,1
5301000,East End School District,ARCH FORD EDUCATIONAL SERVICE,0
5608000,East Poinsett Co. School Dist.,CROWLEY'S RIDGE EDUCATION CO-OP,0
7001000,El Dorado School District,SOUTH CENTRAL SERVICE CO-OP,1
7201000,Elkins School District,NORTHWEST ARK. EDUCATION CO-OP,0
1408000,Emerson-Taylor-Bradley School District,SOUTH CENTRAL SERVICE CO-OP,0
4302000,England School District,WILBUR D. MILLS EDUC. CO-OP,0
6047700,Estem Public Charter School,PULASKI COUNTY SCHOOLS,1
802000,Eureka Springs School District,OZARK UNLITD RESOURCE CO-OP,0
6055700,Exalt Academy of Southwest Little Rock,PULASKI COUNTY SCHOOLS,1
7202000,Farmington School District,NORTHWEST ARK. EDUCATION CO-OP,0
7203000,Fayetteville School District,NORTHWEST ARK. EDUCATION CO-OP,0
4501000,Flippin School District,OZARK UNLITD RESOURCE CO-OP,0
2002000,Fordyce School District,SOUTHEAST ARKANSAS EDUCATIONAL,1
4102000,Foreman School District,DEQUEEN/MENA EDUC. CO-OP,0
6201000,Forrest City School District,GREAT RIVERS EDUC. SERV. CO-OP,1
6601000,Fort Smith School District,GUY FENTER EDUCATION SERVICE COOPERATIVE,0
4603000,Fouke School District,SOUTHWEST ARK. CO-OP,1
442700,Founders Classical Academies of Arkansas,NORTHWEST ARK. EDUCATION CO-OP,0
2602000,Fountain Lake School District,DAWSON EDUCATION SERVICE CO-OP,0
3544700,Friendship Aspire Academies Arkansas,ARK. RIVER EDUC. SERVICE CNTR.,1
6640700,Future School of Fort Smith,GUY FENTER EDUCATION SERVICE COOPERATIVE,0
4602000,Genoa Central School District,SOUTHWEST ARK. CO-OP,1
403000,Gentry School District,NORTHWEST ARK. EDUCATION CO-OP,0
3002000,Glen Rose School District,DAWSON EDUCATION SERVICE CO-OP,0
4708000,Gosnell School District,CROWLEY'S RIDGE EDUCATION CO-OP,0
6052700,Graduate Arkansas  Charter,PULASKI COUNTY SCHOOLS,1
404000,Gravette School District,NORTHWEST ARK. EDUCATION CO-OP,0
803000,Green Forest School District,OZARK UNLITD RESOURCE CO-OP,0
2303000,Greenbrier School District,ARCH FORD EDUCATIONAL SERVICE,0
2807000,Greene County Tech School District,NORTHEAST ARK. EDUC. CO-OP,0
7204000,Greenland School District,NORTHWEST ARK. EDUCATION CO-OP,0
6602000,Greenwood School District,GUY FENTER EDUCATION SERVICE COOPERATIVE,0
1003000,Gurdon School District,DAWSON EDUCATION SERVICE CO-OP,0
2304000,Guy-Perkins School District,ARCH FORD EDUCATIONAL SERVICE,0
7240700,Haas Hall Academy,NORTHWEST ARK. EDUCATION CO-OP,0
6603000,Hackett School District,GUY FENTER EDUCATION SERVICE COOPERATIVE,0
203000,Hamburg School District,SOUTHEAST ARKANSAS EDUCATIONAL,1
701000,Hampton School District,SOUTH CENTRAL SERVICE CO-OP,1
6304000,Harmony Grove Sch Dist(Saline),DAWSON EDUCATION SERVICE CO-OP,0
5205000,Harmony Grove School District (Ouachita),SOUTH CENTRAL SERVICE CO-OP,0
5602000,Harrisburg School District,CROWLEY'S RIDGE EDUCATION CO-OP,1
503000,Harrison School District,OZARK UNLITD RESOURCE CO-OP,0
5903000,Hazen School District,WILBUR D. MILLS EDUC. CO-OP,0
1202000,Heber Springs School District,ARCH FORD EDUCATIONAL SERVICE,0
5803000,Hector School District,ARCH FORD EDUCATIONAL SERVICE,0
5403000,Helena/ West Helena School District,GREAT RIVERS EDUC. SERV. CO-OP,1
601000,Hermitage School District,SOUTHEAST ARKANSAS EDUCATIONAL,1
6804000,Highland School District,NORTH CENTRAL ARK. EDUC CO-OP,0
3809000,Hillcrest School District,NORTHEAST ARK. EDUC. CO-OP,0
445700,Hope Academy of Northwest Arkansas,NORTHWEST ARK. EDUCATION CO-OP,0
2903000,Hope School District,SOUTHWEST ARK. CO-OP,1
6703000,Horatio School District,DEQUEEN/MENA EDUC. CO-OP,0
2603000,Hot Springs School District,DAWSON EDUCATION SERVICE CO-OP,1
3804000,Hoxie School District,NORTHEAST ARK. EDUC. CO-OP,0
4401000,Huntsville School District,NORTHWEST ARK. EDUCATION CO-OP,0
3840700,Imboden Charter School District,NORTHEAST ARK. EDUC. CO-OP,0
3306000,Izard County Consolidated School District,NORTH CENTRAL ARK. EDUC CO-OP,1
3405000,Jackson Co. School District,NORTHEAST ARK. EDUC. CO-OP,0
6004000,Jacksonville North Pulaski School District,PULASKI COUNTY SCHOOLS,1
5102000,Jasper School District,OZARK UNLITD RESOURCE CO-OP,0
2604000,Jessieville School District,DAWSON EDUCATION SERVICE CO-OP,0
1608000,Jonesboro School District,CROWLEY'S RIDGE EDUCATION CO-OP,0
7003000,Junction City School District,SOUTH CENTRAL SERVICE CO-OP,0
5440700,Kipp Delta Public Schools,GREAT RIVERS EDUC. SERV. CO-OP,1
5503000,Kirby School District,DAWSON EDUCATION SERVICE CO-OP,0
3704000,Lafayette County School District,SOUTHWEST ARK. CO-OP,1
2605000,Lake Hamilton School District,DAWSON EDUCATION SERVICE CO-OP,0
903000,Lakeside School Dist(Chicot),SOUTHEAST ARKANSAS EDUCATIONAL,1
2606000,Lakeside School Dist(Garland),DAWSON EDUCATION SERVICE CO-OP,0
3604000,Lamar School District,GUY FENTER EDUCATION SERVICE COOPERATIVE,0
6605000,Lavaca School District,GUY FENTER EDUCATION SERVICE COOPERATIVE,0
3810000,Lawrence County School District,NORTHEAST ARK. EDUC. CO-OP,0
506000,Lead Hill School District,OZARK UNLITD RESOURCE CO-OP,1
3904000,Lee County School District,GREAT RIVERS EDUC. SERV. CO-OP,1
7205000,Lincoln School District,NORTHWEST ARK. EDUCATION CO-OP,0
6041700,Lisa Academy,PULASKI COUNTY SCHOOLS,1
6001000,Little Rock School District,PULASKI COUNTY SCHOOLS,1
4301000,Lonoke School District,WILBUR D. MILLS EDUC. CO-OP,0
4202000,Magazine School District,GUY FENTER EDUCATION SERVICE COOPERATIVE,1
3003000,Magnet Cove School Dist.,DAWSON EDUCATION SERVICE CO-OP,0
1402000,Magnolia School District,SOUTH CENTRAL SERVICE CO-OP,0
3004000,Malvern School District,DAWSON EDUCATION SERVICE CO-OP,0
2501000,Mammoth Spring School District,NORTH CENTRAL ARK. EDUC CO-OP,0
4712000,Manila School District,CROWLEY'S RIDGE EDUCATION CO-OP,0
6606000,Mansfield School District,GUY FENTER EDUCATION SERVICE COOPERATIVE,0
1804000,Marion School District,CROWLEY'S RIDGE EDUCATION CO-OP,1
5604000,Marked Tree School District,CROWLEY'S RIDGE EDUCATION CO-OP,1
2803000,Marmaduke School District,NORTHEAST ARK. EDUC. CO-OP,0
5404000,Marvell-Elaine School District,GREAT RIVERS EDUC. SERV. CO-OP,1
2305000,Mayflower School District,ARCH FORD EDUCATIONAL SERVICE,0
6102000,Maynard School District,NORTHEAST ARK. EDUC. CO-OP,1
7403000,McCrory School District,WILBUR D. MILLS EDUC. CO-OP,0
2105000,McGehee School District,SOUTHEAST ARKANSAS EDUCATIONAL,1
3302000,Melbourne School District,NORTH CENTRAL ARK. EDUC CO-OP,0
5703000,Mena School District,DEQUEEN/MENA EDUC. CO-OP,0
3211000,Midland School District,NORTH CENTRAL ARK. EDUC CO-OP,1
3104000,Mineral Springs School District,DEQUEEN/MENA EDUC. CO-OP,0
2203000,Monticello School District,SOUTHEAST ARKANSAS EDUCATIONAL,1
4902000,Mount Ida School District,DEQUEEN/MENA EDUC. CO-OP,0
303000,Mountain Home School District,NORTH CENTRAL ARK. EDUC CO-OP,0
2607000,Mountain Pine School District,DAWSON EDUCATION SERVICE CO-OP,0
6901000,Mountain View School District,NORTH CENTRAL ARK. EDUC CO-OP,0
1703000,Mountainburg School District,GUY FENTER EDUCATION SERVICE COOPERATIVE,1
2306000,Mt. Vernon/Enola School District,ARCH FORD EDUCATIONAL SERVICE,0
1704000,Mulberry/Pleasant View Bi-County Schools,GUY FENTER EDUCATION SERVICE COOPERATIVE,0
3105000,Nashville School District,DEQUEEN/MENA EDUC. CO-OP,0
1503000,Nemo Vista School District,ARCH FORD EDUCATIONAL SERVICE,0
1611000,Nettleton School District,CROWLEY'S RIDGE EDUCATION CO-OP,0
5008000,Nevada School District,SOUTHWEST ARK. CO-OP,1
3403000,Newport School District,CROWLEY'S RIDGE EDUCATION CO-OP,0
304000,Norfork School District,NORTH CENTRAL ARK. EDUC CO-OP,0
6002000,North Little Rock School District,PULASKI COUNTY SCHOOLS,1
504000,Omaha School District,OZARK UNLITD RESOURCE CO-OP,0
4713000,Osceola School District,CROWLEY'S RIDGE EDUCATION CO-OP,1
5706000,Ouachita River School District,DEQUEEN/MENA EDUC. CO-OP,0
3005000,Ouachita School District,DAWSON EDUCATION SERVICE CO-OP,0
6505000,Ozark Mountain School District,OZARK UNLITD RESOURCE CO-OP,0
2404000,Ozark School District,GUY FENTER EDUCATION SERVICE COOPERATIVE,0
6205000,Palestine-Wheatley Sch. Dist.,GREAT RIVERS EDUC. SERV. CO-OP,1
7309000,Pangburn School District,WILBUR D. MILLS EDUC. CO-OP,0
2808000,Paragould School District,NORTHEAST ARK. EDUC. CO-OP,0
4203000,Paris School District,GUY FENTER EDUCATION SERVICE COOPERATIVE,0
7007000,Parkers Chapel School Dist.,SOUTH CENTRAL SERVICE CO-OP,0
407000,Pea Ridge School District,NORTHWEST ARK. EDUCATION CO-OP,1
5303000,Perryville School District,ARCH FORD EDUCATIONAL SERVICE,0
1104000,Piggott School District,NORTHEAST ARK. EDUC. CO-OP,0
3505000,Pine Bluff School District,ARK. RIVER EDUC. SERVICE CNTR.,1
6103000,Pocahontas School District,NORTHEAST ARK. EDUC. CO-OP,0
5804000,Pottsville School District,ARCH FORD EDUCATIONAL SERVICE,0
2703000,Poyen School District,DAWSON EDUCATION SERVICE CO-OP,0
7206000,Prairie Grove School District,NORTHWEST ARK. EDUCATION CO-OP,0
6053700,Premier High Schools of Arkansas,PULASKI COUNTY SCHOOLS,1
5006000,Prescott School District,SOUTHWEST ARK. CO-OP,1
6003000,Pulaski County Special School District,PULASKI COUNTY SCHOOLS,1
1203000,Quitman School District,ARCH FORD EDUCATIONAL SERVICE,0
1106000,Rector School District,NORTHEAST ARK. EDUC. CO-OP,1
6062700,Responsive Ed Solutions Premier High School of North Little Rock,PULASKI COUNTY SCHOOLS,1
7242700,Responsive Ed Solutions Premier High School of Springdale,NORTHWEST ARK. EDUCATION CO-OP,0
4706000,Rivercrest School District,CROWLEY'S RIDGE EDUCATION CO-OP,0
1613000,Riverside School District,CROWLEY'S RIDGE EDUCATION CO-OP,0
7307000,Riverview School District,WILBUR D. MILLS EDUC. CO-OP,0
405000,Rogers School District,NORTHWEST ARK. EDUCATION CO-OP,0
7310000,Rose Bud School District,WILBUR D. MILLS EDUC. CO-OP,0
5805000,Russellville School District,ARCH FORD EDUCATIONAL SERVICE,0
2502000,Salem School District,NORTH CENTRAL ARK. EDUC CO-OP,0
6060700,Scholarmade Achievement Place of Arkansas,PULASKI COUNTY SCHOOLS,1
4204000,Scranton School District,GUY FENTER EDUCATION SERVICE COOPERATIVE,0
6502000,Searcy County School District,OZARK UNLITD RESOURCE CO-OP,0
7311000,Searcy School District,WILBUR D. MILLS EDUC. CO-OP,0
2705000,Sheridan School District,ARK. RIVER EDUC. SERVICE CNTR.,1
7104000,Shirley School District,ARCH FORD EDUCATIONAL SERVICE,0
406000,Siloam Springs School District,NORTHWEST ARK. EDUCATION CO-OP,0
3806000,Sloan-Hendrix School District,NORTHEAST ARK. EDUC. CO-OP,0
7008000,Smackover-Norphlet School District,SOUTH CENTRAL SERVICE CO-OP,0
1507000,South Conway County School District,ARCH FORD EDUCATIONAL SERVICE,0
5504000,South Pike County School District,DAWSON EDUCATION SERVICE CO-OP,0
7105000,South Side School District(Vanburen),ARCH FORD EDUCATIONAL SERVICE,0
3209000,Southside School District (Independence),NORTH CENTRAL ARK. EDUC CO-OP,0
2906000,Spring Hill School District,SOUTHWEST ARK. CO-OP,0
7207000,Springdale School District,NORTHWEST ARK. EDUCATION CO-OP,0
4003000,Star City School District,SOUTHEAST ARKANSAS EDUCATIONAL,1
7009000,Strong-Huttig School District,SOUTH CENTRAL SERVICE CO-OP,0
104000,Stuttgart School District,ARK. RIVER EDUC. SERVICE CNTR.,1
4605000,Texarkana School District,SOUTHWEST ARK. CO-OP,1
6058700,The Excel Center,PULASKI COUNTY SCHOOLS,1
5605000,Trumann School District,CROWLEY'S RIDGE EDUCATION CO-OP,0
7510000,Two Rivers School District,ARCH FORD EDUCATIONAL SERVICE,0
505000,Valley Springs School District,OZARK UNLITD RESOURCE CO-OP,0
1612000,Valley View School District,CROWLEY'S RIDGE EDUCATION CO-OP,0
1705000,Van Buren School District,GUY FENTER EDUCATION SERVICE COOPERATIVE,0
2307000,Vilonia School District,ARCH FORD EDUCATIONAL SERVICE,0
2503000,Viola School District,NORTH CENTRAL ARK. EDUC CO-OP,0
6401000,Waldron School District,GUY FENTER EDUCATION SERVICE COOPERATIVE,0
602000,Warren School District,SOUTHEAST ARKANSAS EDUCATIONAL,1
3509000,Watson Chapel School District,ARK. RIVER EDUC. SERVICE CNTR.,1
7208000,West Fork School District,NORTHWEST ARK. EDUCATION CO-OP,0
1803000,West Memphis School District,GREAT RIVERS EDUC. SERV. CO-OP,1
1204000,West Side School Dist(Cleburne),ARCH FORD EDUCATIONAL SERVICE,0
7509000,Western Yell Co. School Dist.,ARCH FORD EDUCATIONAL SERVICE,0
1602000,Westside Cons. Sch Dist(Craigh,NORTHEAST ARK. EDUC. CO-OP,0
3606000,Westside School Dist(Johnson),GUY FENTER EDUCATION SERVICE COOPERATIVE,0
6063700,Westwind School for Performing Arts,PULASKI COUNTY SCHOOLS,1
7304000,White Co. Central School Dist.,WILBUR D. MILLS EDUC. CO-OP,0
3510000,White Hall School District,ARK. RIVER EDUC. SERVICE CNTR.,1
1505000,Wonderview School District,ARCH FORD EDUCATIONAL SERVICE,0
1304000,Woodlawn School District,SOUTHEAST ARKANSAS EDUCATIONAL,1
1905000,Wynne School District,CROWLEY'S RIDGE EDUCATION CO-OP,0
4502000,Yellville-Summit School District.,OZARK UNLITD RESOURCE CO-OP,0
